Reference,Qty,Value,Footprint,Master Component,Cascade Component,Digikey Part No,Manufacturer Part No,Unit Price ($),Net Price ($),Master Components ($),Cascade Components ($),UC Component,Uc Components ($),UC Master Components ($),UC Cascade Components ($)
C1,1,100u,Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm,1,0,732-9051-1-ND,860080674009,0.7245,0.7245,0.7245,0,0,0,0,0
"C2,C3,C5",3,100n,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,0,1,UC,,0.2,0.6,0,0.6,1,0.6,0,0.6
C4,1,330p,Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm,1,0,UC,,0.2,0.2,0.2,0,1,0.2,0.2,0
D1,1,SB240L,Diode_THT:D_DO-15_P3.81mm_Vertical_KathodeUp,1,0,UC,SB240L,0.8,0.8,0.8,0,1,0.8,0.8,0
D2,1,SMF5V0A,Diode_SMD:D_SMF,1,0,4878-SMF5.0ACT-ND,SMF5.0A,0.5405,0.5405,0.5405,0,0,0,0,0
F1,1,100mA hold,Fuse:Fuse_Littelfuse_395Series,1,0,UC,TRF250-120,1.2,1.2,1.2,0,1,1.2,1.2,0
F2,1,500mA hold,Fuse:Fuse_Littelfuse_395Series,1,0,UC,RXEF050,1.2,1.2,1.2,0,1,1.2,1.2,0
J1,1,USB_C_Receptacle_USB2.0_14P,Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,0,2223-UJC-H-G-SMT-P6-TRCT-ND,UJC-H-G-SMT-P6-TR,0.851,0.851,0.851,0,0,0,0,0
J2,1,Conn_01x02_Pin,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
"J3,J4,J5",3,Conn_02x05_Counter_Clockwise,Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical,0,1,UC,,0.45,1.35,0,1.35,1,1.35,0,1.35
"J6,J7,J8,J9",4,Conn_01x08_Pin,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,0,1,UC,,0.15,0.6,0,0.6,1,0.6,0,0.6
JP1,1,Jumper_2_Open,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
L1,1,100uH,Custom:SPM7054VT-D,1,0,445-180962-1-ND,SPM7054VT-101M-D,2.5875,2.5875,2.5875,0,0,0,0,0
"Q1,Q2,Q3,Q4,Q5,Q6",6,IRLU014PBF,Package_TO_SOT_THT:TO-251-3_Vertical,1,0,IRLU014PBF-ND,IRLU014PBF,1.3915,8.349,8.349,0,0,0,0,0
"R1,R18",2,0.2R,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,1,0,283-MFHA1206R2000FCCT-ND,MFHA1206R2000FC,0.4945,0.989,0.989,0,0,0,0,0
R2,1,100k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,0,UC,,0,0,0,0,1,0,0,0
R3,1,180R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
"R4,R5",2,5k1,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
R6,1,3k9,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
"R7,R8,R13,R21",4,2K2,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
"R9,R10,R14,R16,R17,R22,R24,R25",8,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
R11,1,6R8,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
R12,1,12k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
"R15,R23",2,100R,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical,1,0,UC,,0,0,0,0,1,0,0,0
R19,1,10k,Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,0,1,UC,,0,0,0,0,1,0,0,0
