"Reference","Qty","Value","Footprint","Master Component","Digikey Part No","Manufacturer Part No","Unit Price ($)"
"C1,C3,C8,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20","13","100n","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","0","UC","","0.20"
"C2","1","100u","Capacitor_THT:C_Radial_D8.0mm_H11.5mm_P3.50mm","1","732-9051-1-ND","860080674009","0.72450"
"C4","1","1n","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","UC","","0.20"
"C5,C10","2","220n","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","UC","","0.40"
"C6,C7","2","10n","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","UC","","0.20"
"C9","1","330p","Capacitor_THT:C_Disc_D5.1mm_W3.2mm_P5.00mm","1","UC","","0.20"
"D1","1","SB240L","Diode_THT:D_DO-15_P3.81mm_Vertical_KathodeUp","1","UC","SB240L","0.80"
"D2","1","SMF5V0A","Diode_SMD:D_SMF","1","4878-SMF5.0ACT-ND","SMF5.0A","0.54050"
"F1","1","100mA hold","Fuse:Fuse_Littelfuse_395Series","1","UC","TRF250-120","1.20"
"J1","1","USB_C_Receptacle_USB2.0_14P","Connector_USB:USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal","1","2223-UJC-H-G-SMT-P6-TRCT-ND","UJC-H-G-SMT-P6-TR","0.85100"
"J2","1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","UC","","0.00"
"J3,J4,J5","3","Conn_02x05_Counter_Clockwise","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","0","UC","","0.45"
"J6,J7,J8,J9","4","Conn_01x08_Pin","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","0","UC","","0.15"
"JP1","1","Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","UC","","0.00"
"L1","1","100uH","Custom:SPM7054VT-D","1","445-180962-1-ND","SPM7054VT-101M-D","2.61050"
"Q1,Q2","2","DMG2305UX","Package_TO_SOT_SMD:SOT-23","1","DMG2305UX-7DICT-ND","DMG2305UX-7","0.35650"
"Q3,Q4,Q5,Q6","4","SL3402","Package_TO_SOT_SMD:SOT-23","1","5399-SL3402CT-ND","  SL3402","0.33350"
"R1,R22","2","0.2R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","1","283-MFHA1206R2000FCCT-ND","MFHA1206R2000FC","0.506"
"R2","1","33k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R3","1","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","UC","","0.00"
"R4","1","180R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R5","1","39k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R6,R7","2","5k1","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R8","1","1k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R9","1","3k9","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R10","1","68k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R11,R12","2","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","UC","","0.00"
"R13,R14,R23","3","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1","UC","","0.00"
"R15","1","6R8","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R16","1","12k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R17,R25","2","2K2","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R18,R20,R21,R26,R28,R29","6","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R19,R27","2","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"R24","1","18k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","1","UC","","0.00"
"RN1,RN2,RN3,RN4","4","1M","Resistor_THT:R_Array_SIP9","0","4609X-101-474LF-ND","4609X-101-474LF","0.9085"
"RV1","1","10k","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1","UC","3296W","3.00"
"U1","1","LM556","Package_DIP:DIP-14_W7.62mm","1","UC","LM557","1.00"
"U2","1","MC34063AD","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1","5399-MC34063SCT-ND","MC34063S","0.54050"
"U3","1","TLV274","Package_DIP:DIP-14_W7.62mm","1","UC","TLV274","3.15"
"U4,U6,U8,U10","4","74HC595","Package_DIP:DIP-16_W7.62mm","0","UC","74HC595","1.20"
"U5,U7,U9,U11","4","TBD62783A","Package_SO:SOP-18_7x12.5mm_P1.27mm","0","TBD62783AFGELCT-ND","TBD62783AFG,EL","4.87600"
